Num_Count_Private,Alpha_Count_Private,Num_Count_Public,Alpha_Count_Public,Private_Key_length,Public_Key_length,Class_label
37,27,90,40,64,130,Bitcoin
46,18,85,45,64,130,Bitcoin
38,26,78,52,64,130,Bitcoin
44,20,77,53,64,130,Bitcoin
42,22,94,36,64,130,Bitcoin
37,27,84,46,64,130,Bitcoin
38,26,80,50,64,130,Bitcoin
37,27,76,54,64,130,Bitcoin
32,32,86,44,64,130,Bitcoin
37,27,91,39,64,130,Bitcoin
37,27,79,51,64,130,Bitcoin
31,33,82,48,64,130,Bitcoin
47,17,79,51,64,130,Bitcoin
41,23,81,49,64,130,Bitcoin
40,24,91,39,64,130,Bitcoin
44,20,85,45,64,130,Bitcoin
41,23,91,39,64,130,Bitcoin
43,21,85,45,64,130,Bitcoin
43,21,83,47,64,130,Bitcoin
41,23,85,45,64,130,Bitcoin
39,25,91,39,64,130,Bitcoin
48,16,83,47,64,130,Bitcoin
44,20,90,40,64,130,Bitcoin
44,20,85,45,64,130,Bitcoin
42,22,83,47,64,130,Bitcoin
42,22,77,53,64,130,Bitcoin
34,30,76,54,64,130,Bitcoin
41,23,80,50,64,130,Bitcoin
45,19,90,40,64,130,Bitcoin
32,32,83,47,64,130,Bitcoin
41,23,81,49,64,130,Bitcoin
35,29,78,52,64,130,Bitcoin
50,14,88,42,64,130,Bitcoin
42,22,84,46,64,130,Bitcoin
40,24,74,56,64,130,Bitcoin
40,24,81,49,64,130,Bitcoin
44,20,78,52,64,130,Bitcoin
42,22,78,52,64,130,Bitcoin
45,19,86,44,64,130,Bitcoin
50,14,74,56,64,130,Bitcoin
43,21,85,45,64,130,Bitcoin
31,33,87,43,64,130,Bitcoin
37,27,92,38,64,130,Bitcoin
41,23,76,54,64,130,Bitcoin
42,22,85,45,64,130,Bitcoin
38,26,80,50,64,130,Bitcoin
37,27,72,58,64,130,Bitcoin
35,29,85,45,64,130,Bitcoin
42,22,89,41,64,130,Bitcoin
39,25,76,54,64,130,Bitcoin
41,23,87,43,64,130,Bitcoin
41,23,77,53,64,130,Bitcoin
45,19,83,47,64,130,Bitcoin
36,28,82,48,64,130,Bitcoin
40,24,79,51,64,130,Bitcoin
39,25,82,48,64,130,Bitcoin
35,29,84,46,64,130,Bitcoin
40,24,79,51,64,130,Bitcoin
44,20,82,48,64,130,Bitcoin
41,23,85,45,64,130,Bitcoin
38,26,74,56,64,130,Bitcoin
36,28,81,49,64,130,Bitcoin
43,21,77,53,64,130,Bitcoin
45,19,78,52,64,130,Bitcoin
40,24,82,48,64,130,Bitcoin
38,26,84,46,64,130,Bitcoin
48,16,91,39,64,130,Bitcoin
45,19,80,50,64,130,Bitcoin
37,27,85,45,64,130,Bitcoin
42,22,77,53,64,130,Bitcoin
41,23,73,57,64,130,Bitcoin
42,22,75,55,64,130,Bitcoin
51,13,80,50,64,130,Bitcoin
35,29,90,40,64,130,Bitcoin
40,24,72,58,64,130,Bitcoin
39,25,90,40,64,130,Bitcoin
41,23,82,48,64,130,Bitcoin
40,24,87,43,64,130,Bitcoin
43,21,86,44,64,130,Bitcoin
41,23,87,43,64,130,Bitcoin
39,25,75,55,64,130,Bitcoin
33,31,86,44,64,130,Bitcoin
46,18,80,50,64,130,Bitcoin
40,24,86,44,64,130,Bitcoin
40,24,86,44,64,130,Bitcoin
44,20,85,45,64,130,Bitcoin
44,20,81,49,64,130,Bitcoin
41,23,84,46,64,130,Bitcoin
41,23,88,42,64,130,Bitcoin
43,21,80,50,64,130,Bitcoin
41,23,81,49,64,130,Bitcoin
39,25,91,39,64,130,Bitcoin
38,26,88,42,64,130,Bitcoin
35,29,73,57,64,130,Bitcoin
39,25,89,41,64,130,Bitcoin
41,23,76,54,64,130,Bitcoin
47,17,86,44,64,130,Bitcoin
38,26,81,49,64,130,Bitcoin
35,29,85,45,64,130,Bitcoin
42,22,89,41,64,130,Bitcoin
32,32,86,44,64,130,Bitcoin
41,23,86,44,64,130,Bitcoin
36,28,78,52,64,130,Bitcoin
47,17,83,47,64,130,Bitcoin
39,25,81,49,64,130,Bitcoin
37,27,81,49,64,130,Bitcoin
36,28,86,44,64,130,Bitcoin
42,22,86,44,64,130,Bitcoin
39,25,90,40,64,130,Bitcoin
33,31,86,44,64,130,Bitcoin
44,20,84,46,64,130,Bitcoin
40,24,84,46,64,130,Bitcoin
